rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_rush_yds,mkt_rec_yds,mkt_rush_tds,mkt_book,mkt_as_of,adj_rush_att,adj_rush_yds,adj_rush_tds,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,ppr_clay_17g,ppr_clay_propadj,mkt_vs_clay17_rush_yds,mkt_vs_clayadj_rush_yds,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
50,Tyrone Tracy Jr.,NYG,52.0,87.0,17.0,111.0,474.0,2.0,20.0,16.0,117.0,1.0,25.0,4.0,,,,,,91.4,390.4,1.6,16.5,13.2,96.4,0.8,93.1,76.28,,,4.49,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
51,Keaton Mitchell,LAC,50.0,94.0,17.0,83.0,392.0,2.0,27.0,20.0,156.0,1.0,20.0,5.0,,,,,,68.4,322.8,1.6,22.2,16.5,128.5,0.8,92.8,76.03,,,4.47,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
52,Tyler Allgeier,ARZ,51.0,91.0,17.0,97.0,385.0,3.0,23.0,18.0,126.0,0.0,26.0,4.0,,,,,,79.9,317.1,2.5,18.9,14.8,103.8,0.0,87.1,71.89,,,4.23,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
53,Dylan Sampson,CLV,53.0,87.0,17.0,55.0,227.0,1.0,36.0,30.0,207.0,1.0,13.0,7.0,,,,,,45.3,186.9,0.8,29.6,24.7,170.5,0.8,85.4,70.04,,,4.12,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
54,MarShawn Lloyd,GB,55.0,79.0,17.0,90.0,382.0,3.0,16.0,12.0,85.0,1.0,20.0,3.0,,,,,,74.1,314.6,2.5,13.2,9.9,70.0,0.8,82.7,68.16,,,4.01,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
55,Ty Johnson,BUF,54.0,85.0,17.0,51.0,219.0,2.0,31.0,22.0,208.0,1.0,11.0,6.0,,,,,,42.0,180.4,1.6,25.5,18.1,171.3,0.8,82.7,67.67,,,3.98,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
56,Braelon Allen,NYJ,56.0,76.0,17.0,83.0,348.0,3.0,16.0,13.0,90.0,0.0,19.0,3.0,,,,,,68.4,286.6,2.5,13.2,10.7,74.1,0.0,74.8,61.77,,,3.63,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
57,Chris Rodriguez,JAX,57.0,71.0,17.0,100.0,431.0,3.0,6.0,4.0,29.0,0.0,25.0,1.0,,,,,,82.4,354.9,2.5,4.9,3.3,23.9,0.0,68.0,56.18,,,3.3,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
58,Emari Demercado,KC,60.0,63.0,17.0,54.0,255.0,1.0,22.0,16.0,108.0,1.0,13.0,4.0,,,,,,44.5,210.0,0.8,18.1,13.2,88.9,0.8,64.3,52.69,,,3.1,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
59,Tank Bigsby,PHI,59.0,64.0,17.0,83.0,373.0,3.0,5.0,4.0,29.0,0.0,18.0,1.0,,,,,,68.4,307.2,2.5,4.1,3.3,23.9,0.0,62.2,51.41,,,3.02,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
60,Mike Washington Jr.,LV,58.0,65.0,17.0,89.0,365.0,2.0,11.0,8.0,60.0,0.0,21.0,2.0,,,,,,73.3,300.6,1.6,9.1,6.6,49.4,0.0,62.5,51.2,,,3.01,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
61,Jordan James,SF,61.0,61.0,17.0,75.0,321.0,2.0,11.0,8.0,63.0,0.0,17.0,2.0,,,,,,61.8,264.4,1.6,9.1,6.6,51.9,0.0,58.4,47.83,,,2.81,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
62,Chris Brooks,GB,67.0,44.0,17.0,22.0,99.0,1.0,21.0,16.0,111.0,1.0,5.0,4.0,,,,,,18.1,81.5,0.8,17.3,13.2,91.4,0.8,49.0,40.09,,,2.36,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
63,Jaydon Blue,DAL,63.0,47.0,17.0,49.0,205.0,2.0,11.0,9.0,62.0,0.0,11.0,2.0,,,,,,40.4,168.8,1.6,9.1,7.4,51.1,0.0,47.7,38.99,,,2.29,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
64,Isaiah Davis,NYJ,62.0,51.0,17.0,39.0,178.0,1.0,16.0,13.0,95.0,0.0,9.0,3.0,,,,,,32.1,146.6,0.8,13.2,10.7,78.2,0.0,46.3,37.98,,,2.23,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
65,Emmett Johnson,KC,65.0,46.0,17.0,49.0,205.0,2.0,11.0,8.0,59.0,0.0,12.0,2.0,,,,,,40.4,168.8,1.6,9.1,6.6,48.6,0.0,46.4,37.94,,,2.23,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
66,LeQuint Allen,JAX,64.0,46.0,17.0,8.0,34.0,0.0,28.0,22.0,148.0,1.0,2.0,5.0,,,,,,6.6,28.0,0.0,23.1,18.1,121.9,0.8,46.2,37.89,,,2.23,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
67,Jonah Coleman,DEN,70.0,41.0,17.0,25.0,102.0,1.0,17.0,13.0,94.0,1.0,6.0,3.0,,,,,,20.6,84.0,0.8,14.0,10.7,77.4,0.8,44.6,36.44,,,2.14,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
68,Kyle Juszczyk,SF,66.0,45.0,17.0,4.0,19.0,0.0,26.0,20.0,162.0,1.0,1.0,5.0,,,,,,3.3,15.6,0.0,21.4,16.5,133.4,0.8,44.1,36.2,,,2.13,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
69,George Holani,SEA,69.0,41.0,17.0,39.0,164.0,2.0,11.0,8.0,62.0,0.0,8.0,2.0,,,,,,32.1,135.1,1.6,9.1,6.6,51.1,0.0,42.6,34.82,,,2.05,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
70,Jaylen Wright,MIA,68.0,43.0,17.0,56.0,233.0,1.0,10.0,7.0,56.0,0.0,13.0,2.0,,,,,,46.1,191.9,0.8,8.2,5.8,46.1,0.0,41.9,34.4,,,2.02,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
71,DJ Giddens,IND,74.0,36.0,17.0,34.0,141.0,1.0,10.0,9.0,57.0,0.0,8.0,2.0,,,,,,28.0,116.1,0.8,8.2,7.4,46.9,0.0,34.8,28.5,,,1.68,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
72,Kimani Vidal,LAC,73.0,36.0,17.0,33.0,136.0,1.0,11.0,8.0,63.0,0.0,8.0,2.0,,,,,,27.2,112.0,0.8,9.1,6.6,51.9,0.0,33.9,27.79,,,1.63,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
73,Ray Davis,BUF,71.0,38.0,17.0,32.0,138.0,1.0,10.0,8.0,60.0,0.0,7.0,2.0,,,,,,26.4,113.6,0.8,8.2,6.6,49.4,0.0,33.8,27.7,,,1.63,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
74,Sean Tucker,TB,72.0,37.0,17.0,44.0,183.0,2.0,3.0,2.0,14.0,0.0,10.0,1.0,,,,,,36.2,150.7,1.6,2.5,1.6,11.5,0.0,33.7,27.42,,,1.61,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
75,Ollie Gordon II,MIA,76.0,35.0,17.0,49.0,203.0,1.0,5.0,4.0,28.0,0.0,12.0,1.0,,,,,,40.4,167.2,0.8,4.1,3.3,23.1,0.0,33.1,27.13,,,1.6,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
76,Malik Davis,DAL,75.0,36.0,17.0,44.0,192.0,1.0,6.0,4.0,30.0,0.0,10.0,1.0,,,,,,36.2,158.1,0.8,4.9,3.3,24.7,0.0,32.2,26.38,,,1.55,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
77,Kaelon Black,SF,77.0,29.0,17.0,35.0,147.0,1.0,5.0,4.0,31.0,0.0,8.0,1.0,,,,,,28.8,121.1,0.8,4.1,3.3,25.5,0.0,27.8,22.76,,,1.34,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
78,Adam Randall,BLT,79.0,25.0,17.0,29.0,121.0,1.0,5.0,4.0,29.0,0.0,6.0,1.0,,,,,,23.9,99.6,0.8,4.1,3.3,23.9,0.0,25.0,20.45,,,1.2,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
79,Demond Claiborne,MIN,81.0,24.0,17.0,26.0,110.0,1.0,6.0,5.0,29.0,0.0,7.0,1.0,,,,,,21.4,90.6,0.8,4.9,4.1,23.9,0.0,24.9,20.35,,,1.2,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
80,Will Shipley,PHI,78.0,28.0,17.0,9.0,40.0,0.0,15.0,11.0,83.0,0.0,2.0,3.0,,,,,,7.4,32.9,0.0,12.4,9.1,68.4,0.0,23.3,19.23,,,1.13,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
81,Devin Singletary,NYG,82.0,20.0,17.0,22.0,89.0,1.0,5.0,4.0,26.0,0.0,5.0,1.0,,,,,,18.1,73.3,0.8,4.1,3.3,21.4,0.0,21.5,17.57,,,1.03,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
82,Nicholas Singleton,TEN,83.0,20.0,17.0,20.0,83.0,1.0,6.0,4.0,30.0,0.0,5.0,1.0,,,,,,16.5,68.4,0.8,4.9,3.3,24.7,0.0,21.3,17.41,,,1.02,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
83,Hunter Luepke,DAL,80.0,25.0,17.0,13.0,56.0,0.0,11.0,9.0,62.0,0.0,3.0,2.0,,,,,,10.7,46.1,0.0,9.1,7.4,51.1,0.0,20.8,17.12,,,1.01,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
84,Tahj Brooks,CIN,85.0,18.0,17.0,31.0,129.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,,25.5,106.2,0.8,0.0,0.0,0.0,0.0,18.9,15.42,,,0.91,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
85,Tyler Badie,DEN,84.0,19.0,17.0,4.0,18.0,0.0,11.0,8.0,65.0,0.0,1.0,2.0,,,,,,3.3,14.8,0.0,9.1,6.6,53.5,0.0,16.3,13.43,,,0.79,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
86,Alec Ingold,LAC,87.0,16.0,17.0,2.0,9.0,0.0,11.0,8.0,58.0,0.0,1.0,2.0,,,,,,1.6,7.4,0.0,9.1,6.6,47.8,0.0,14.7,12.12,,,0.71,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
87,Trevor Etienne,CAR,86.0,17.0,17.0,12.0,52.0,0.0,5.0,4.0,29.0,0.0,3.0,1.0,,,,,,9.9,42.8,0.0,4.1,3.3,23.9,0.0,12.1,9.97,,,0.59,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
88,Seth McGowan,IND,89.0,16.0,17.0,13.0,52.0,0.0,5.0,4.0,29.0,0.0,3.0,1.0,,,,,,10.7,42.8,0.0,4.1,3.3,23.9,0.0,12.1,9.97,,,0.59,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
89,Kaytron Allen,WAS,88.0,16.0,17.0,12.0,51.0,0.0,5.0,4.0,29.0,0.0,3.0,1.0,,,,,,9.9,42.0,0.0,4.1,3.3,23.9,0.0,12.0,9.89,,,0.58,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
90,Adam Prentice,DEN,90.0,10.0,17.0,4.0,17.0,0.0,6.0,4.0,30.0,0.0,1.0,1.0,,,,,,3.3,14.0,0.0,4.9,3.3,24.7,0.0,8.7,7.17,,,0.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
91,Connor Heyward,LV,91.0,10.0,17.0,4.0,18.0,0.0,5.0,4.0,29.0,0.0,1.0,1.0,,,,,,3.3,14.8,0.0,4.1,3.3,23.9,0.0,8.7,7.17,,,0.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
92,Max Bredeson,MIN,94.0,10.0,17.0,2.0,8.0,0.0,6.0,5.0,29.0,0.0,1.0,1.0,,,,,,1.6,6.6,0.0,4.9,4.1,23.9,0.0,8.7,7.15,,,0.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
93,Michael Burton,CLV,92.0,10.0,17.0,4.0,18.0,0.0,5.0,4.0,26.0,0.0,1.0,1.0,,,,,,3.3,14.8,0.0,4.1,3.3,21.4,0.0,8.4,6.92,,,0.41,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
94,Reggie Gilliam,NE,97.0,8.0,17.0,0.0,0.0,0.0,5.0,4.0,30.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,4.1,3.3,24.7,0.0,7.0,5.77,,,0.34,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
95,Riley Nowakowski,PIT,96.0,8.0,17.0,0.0,0.0,0.0,6.0,4.0,29.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,4.9,3.3,23.9,0.0,6.9,5.69,,,0.33,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
96,Andrew Beck,NYJ,95.0,8.0,17.0,0.0,0.0,0.0,5.0,4.0,28.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,4.1,3.3,23.1,0.0,6.8,5.61,,,0.33,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
97,Patrick Ricard,NYG,98.0,7.0,17.0,0.0,0.0,0.0,5.0,4.0,27.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,4.1,3.3,22.2,0.0,6.7,5.52,,,0.32,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
98,Kendre Miller,NO,99.0,7.0,17.0,13.0,55.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,10.7,45.3,0.0,0.0,0.0,0.0,0.0,5.5,4.53,,,0.27,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
99,Jawhar Jordan,HST,100.0,7.0,17.0,13.0,54.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,10.7,44.5,0.0,0.0,0.0,0.0,0.0,5.4,4.45,,,0.26,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
100,Emanuel Wilson,SEA,93.0,10.0,6.0,11.0,48.0,0.0,2.0,1.0,10.0,0.0,2.0,0.0,,,,,,5.5,24.0,0.0,1.0,0.5,5.0,0.0,6.8,3.4,,,0.57,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
101,Kaleb Johnson,PIT,101.0,5.0,17.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,7.4,29.6,0.0,0.0,0.0,0.0,0.0,3.6,2.96,,,0.17,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
102,British Brooks,HST,102.0,2.0,17.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,3.3,14.8,0.0,0.0,0.0,0.0,0.0,1.8,1.48,,,0.09,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
