rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_rush_yds,mkt_rec_yds,mkt_rush_tds,mkt_book,mkt_as_of,adj_rush_att,adj_rush_yds,adj_rush_tds,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,ppr_clay_17g,ppr_clay_propadj,mkt_vs_clay17_rush_yds,mkt_vs_clayadj_rush_yds,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
1,Jahmyr Gibbs,DET,1.0,365.0,17.0,283.0,1374.0,14.0,86.0,68.0,546.0,3.0,61.0,16.0,,425.5,,Caesars,2026-06-06,233.1,1131.5,11.5,70.8,56.0,449.6,2.5,362.0,298.11,,,17.54,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
2,Bijan Robinson,ATL,2.0,353.0,17.0,287.0,1374.0,8.0,99.0,76.0,707.0,3.0,66.0,18.0,1125.5,600.5,,Caesars,2026-06-06,236.4,1131.5,6.6,81.5,62.6,582.2,2.5,350.1,288.57,-248.5,-6.0,16.97,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
3,Christian McCaffrey,SF,3.0,343.0,17.0,274.0,1131.0,9.0,100.0,79.0,685.0,5.0,62.0,19.0,925.5,575.5,,Caesars,2026-06-06,225.6,931.4,7.4,82.4,65.1,564.1,4.1,344.6,283.65,-205.5,-5.9,16.69,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
4,Jonathan Taylor,IND,4.0,317.0,17.0,327.0,1510.0,12.0,63.0,51.0,380.0,1.0,78.0,12.0,1250.5,,11.5,Caesars,2026-06-06,269.3,1243.5,9.9,51.9,42.0,312.9,0.8,318.0,261.84,-259.5,7.0,15.4,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
5,De'Von Achane,MIA,5.0,293.0,17.0,258.0,1305.0,5.0,80.0,65.0,512.0,3.0,60.0,16.0,975.5,,,Caesars,2026-06-06,212.5,1074.7,4.1,65.9,53.5,421.6,2.5,294.7,242.73,-329.5,-99.2,14.28,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
6,James Cook,BUF,7.0,279.0,17.0,300.0,1400.0,11.0,46.0,36.0,302.0,2.0,65.0,9.0,1200.5,,10.5,Caesars,2026-06-06,247.1,1152.9,9.1,37.9,29.6,248.7,1.6,284.2,233.96,-199.5,47.6,13.76,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
7,Ashton Jeanty,LV,6.0,281.0,17.0,281.0,1136.0,7.0,87.0,65.0,495.0,2.0,67.0,16.0,,,,,,231.4,935.5,5.8,71.6,53.5,407.6,1.6,282.1,232.21,,,13.66,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
8,Jeremiyah Love,ARZ,8.0,279.0,17.0,255.0,1129.0,7.0,86.0,65.0,489.0,2.0,68.0,15.0,,,,,,210.0,929.8,5.8,70.8,53.5,402.7,1.6,280.8,231.15,,,13.6,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
9,Breece Hall,NYJ,11.0,273.0,17.0,265.0,1163.0,8.0,64.0,52.0,436.0,3.0,61.0,12.0,,,,,,218.2,957.8,6.6,52.7,42.8,359.1,2.5,277.9,229.09,,,13.48,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
10,Saquon Barkley,PHI,10.0,274.0,17.0,301.0,1287.0,9.0,59.0,43.0,371.0,2.0,65.0,12.0,1075.5,,,Caesars,2026-06-06,247.9,1059.9,7.4,48.6,35.4,305.5,1.6,274.8,225.94,-211.5,15.6,13.29,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
11,Ken Walker III,KC,12.0,273.0,17.0,276.0,1233.0,9.0,60.0,48.0,375.0,2.0,67.0,11.0,,,,,,227.3,1015.4,7.4,49.4,39.5,308.8,1.6,274.8,225.92,,,13.29,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
12,Derrick Henry,BLT,9.0,274.0,17.0,317.0,1482.0,13.0,28.0,21.0,210.0,1.0,65.0,6.0,1120.5,,12.5,Caesars,2026-06-06,261.1,1220.5,10.7,23.1,17.3,172.9,0.8,274.2,225.64,-361.5,-100.0,13.27,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
13,Chase Brown,CIN,13.0,272.0,17.0,240.0,1046.0,7.0,80.0,64.0,434.0,3.0,59.0,14.0,,,,,,197.6,861.4,5.8,65.9,52.7,357.4,2.5,272.0,224.38,,,13.2,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
14,Josh Jacobs,GB,15.0,260.0,17.0,278.0,1146.0,12.0,47.0,36.0,281.0,2.0,62.0,9.0,,,,,,228.9,943.8,9.9,38.7,29.6,231.4,1.6,262.7,216.12,,,12.71,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
15,Javonte Williams,DAL,16.0,259.0,17.0,287.0,1256.0,11.0,51.0,37.0,218.0,2.0,65.0,9.0,1000.5,,9.5,Caesars,2026-06-06,236.4,1034.4,9.1,42.0,30.5,179.5,1.6,262.4,216.09,-255.5,-33.9,12.71,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
16,Omarion Hampton,LAC,14.0,261.0,17.0,254.0,1082.0,9.0,64.0,52.0,362.0,2.0,61.0,12.0,,,,,,209.2,891.1,7.4,52.7,42.8,298.1,1.6,262.4,215.72,,,12.69,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
17,Cam Skattebo,NYG,17.0,242.0,17.0,249.0,1047.0,7.0,61.0,49.0,365.0,2.0,56.0,12.0,,,,,,205.1,862.2,5.8,50.2,40.4,300.6,1.6,244.2,201.08,,,11.83,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
18,Travis Etienne,NO,18.0,242.0,17.0,258.0,1120.0,6.0,60.0,45.0,376.0,2.0,60.0,11.0,,,,,,212.5,922.4,4.9,49.4,37.1,309.6,1.6,242.6,199.3,,,11.72,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
19,Kyren Williams,LAR,19.0,232.0,17.0,237.0,1071.0,10.0,45.0,33.0,224.0,2.0,52.0,8.0,1000.5,,,Caesars,2026-06-06,195.2,882.0,8.2,37.1,27.2,184.5,1.6,234.5,192.65,-70.5,118.5,11.33,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
20,Quinshon Judkins,CLV,20.0,225.0,17.0,316.0,1240.0,7.0,41.0,32.0,221.0,1.0,74.0,8.0,,,,,,260.2,1021.2,5.8,33.8,26.4,182.0,0.8,226.1,186.32,,,10.96,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
21,TreVeyon Henderson,NE,22.0,208.0,17.0,194.0,854.0,7.0,52.0,43.0,300.0,2.0,47.0,10.0,,,,,,159.8,703.3,5.8,42.8,35.4,247.1,1.6,212.4,174.84,,,10.28,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
22,D'Andre Swift,CHI,21.0,212.0,17.0,219.0,995.0,8.0,41.0,30.0,270.0,1.0,48.0,8.0,,,,,,180.4,819.4,6.6,33.8,24.7,222.4,0.8,210.5,173.28,,,10.19,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
23,Bucky Irving,TB,23.0,208.0,17.0,244.0,994.0,5.0,45.0,37.0,294.0,2.0,56.0,9.0,,,,,,200.9,818.6,4.1,37.1,30.5,242.1,1.6,207.8,170.77,,,10.05,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
24,Bhayshul Tuten,JAX,24.0,205.0,17.0,237.0,991.0,7.0,45.0,34.0,250.0,1.0,59.0,8.0,,,,,,195.2,816.1,5.8,37.1,28.0,205.9,0.8,206.1,169.8,,,9.99,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
25,Rhamondre Stevenson,NE,28.0,191.0,17.0,169.0,722.0,7.0,47.0,38.0,313.0,2.0,41.0,9.0,,,,,,139.2,594.6,5.8,38.7,31.3,257.8,1.6,195.5,160.94,,,9.47,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
26,David Montgomery,HST,26.0,192.0,17.0,214.0,930.0,7.0,38.0,31.0,231.0,1.0,51.0,7.0,,,,,,176.2,765.9,5.8,31.3,25.5,190.2,0.8,195.1,160.71,,,9.45,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
27,Jadarian Price,SEA,25.0,194.0,17.0,223.0,923.0,8.0,35.0,27.0,212.0,1.0,48.0,7.0,,,,,,183.6,760.1,6.6,28.8,22.2,174.6,0.8,194.5,160.07,,,9.42,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
28,Tony Pollard,TEN,29.0,190.0,17.0,247.0,1076.0,6.0,39.0,30.0,181.0,0.0,61.0,7.0,,,,,,203.4,886.1,4.9,32.1,24.7,149.1,0.0,191.7,157.62,,,9.27,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
29,Aaron Jones,MIN,30.0,189.0,17.0,170.0,740.0,4.0,61.0,47.0,344.0,2.0,42.0,11.0,,,,,,140.0,609.4,3.3,50.2,38.7,283.3,1.6,191.4,157.37,,,9.26,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
30,Jaylen Warren,PIT,27.0,191.0,17.0,180.0,790.0,4.0,57.0,46.0,320.0,1.0,42.0,10.0,,,,,,148.2,650.6,3.3,46.9,37.9,263.5,0.8,187.0,153.91,,,9.05,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
31,Rico Dowdle,PIT,31.0,186.0,17.0,223.0,973.0,5.0,40.0,29.0,211.0,1.0,52.0,7.0,,,,,,183.6,801.3,4.1,32.9,23.9,173.8,0.8,183.4,150.81,,,8.87,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
32,Kenneth Gainwell,TB,33.0,178.0,17.0,118.0,522.0,5.0,64.0,52.0,342.0,2.0,27.0,12.0,,,,,,97.2,429.9,4.1,52.7,42.8,281.6,1.6,180.4,148.15,,,8.71,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
