Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
97	17963	Dobbins, J.K.	DEN	RB	96.45	61	147		162		
98	22085	Golden, Matthew	GB	WR	96.49	67	141		162		
99	21126	Daniels, Jayden	WAS	QB	98.20	45	164		162		
100	13671	Diggs, Stefon	WAS	WR	99.01	73	127		162		
101	17999	Hurts, Jalen	PHI	QB	101.30	36	156		162		
102	20274	Addison, Jordan	MIN	WR	103.77	70	141		162		
103	15360	Kittle, George	SF	TE	103.97	67	138		162		
104	22932	Lemon, Makai	PHI	WR	104.44	72	160		162		
105	18773	Hubbard, Chuba	CAR	RB	105.33	68	156		162		
106	19455	Doubs, Romeo	NE	WR	109.35	82	148		162		
107	22130	Croskey-Merritt, Jacory	WAS	RB	109.38	84	155		159		
108	20300	Kincaid, Dalton	BUF	TE	110.72	73	149		162		
109	17061	Meyers, Jakobi	JAX	WR	112.88	76	156		162		
110	7697	Stafford, Matthew	LA	QB	113.30	27	166		162		
111	19464	Likely, Isaiah	NYG	TE	115.05	79	142		162		
112	19436	White, Rachaad	WAS	RB	115.67	88	157		160		
113	14748	Goff, Jared	DET	QB	116.03	44	159		162		
114	21128	Worthy, Xavier	KC	WR	116.38	73	163		161		
115	16998	Jacobs, Josh	GB	RB	119.05	35	227		154		
116	19742	Purdy, Brock	SF	QB	119.33	60	163		162		
117	21570	Coker, Jalen	CAR	WR	120.62	95	168		162		
118	22119	Monangai, Kyle	CHI	RB	120.96	88	159		155		
119	22955	Washington Jr., Mike	LV	RB	123.06	86	168		154		
120	16151	Goedert, Dallas	PHI	TE	125.23	69	163		162		
121	20299	Nix, Bo	DEN	QB	125.56	61	164		162		
122	19441	Allgeier, Tyler	ARZ	RB	125.75	90	164		162		
123	19934	Shaheed, Rashid	SEA	WR	127.15	94	160		162		
124	11842	Kelce, Travis	KC	TE	127.45	74	173		162		
125	19462	Shakir, Khalil	BUF	WR	127.63	88	167		160		
126	17019	Samuel Sr., Deebo	SF	WR	128.92	92	166		161		
127	22087	Dart, Jaxson	NYG	QB	130.10	51	186		162		
128	22941	Coleman, Jonah	DEN	RB	130.37	73	163		151		
129	22109	Marks, Woody	HOU	RB	131.22	90	167		156		
130	20308	Rodriguez Jr., Chris	JAX	RB	131.25	87	173		152		
131	19476	Ferguson, Jake	DAL	TE	132.45	73	174		162		
132	15234	Mahomes, Patrick	KC	QB	132.64	66	197		162		
133	22931	Tyson, Jordyn	NO	WR	132.81	76	258		153		
134	15392	Jones Sr., Aaron	MIN	RB	136.04	96	165		153		
135	18582	Johnson, Juwan	NO	TE	139.56	110	175		160		
136	1996	Rams, Los Angeles (LAR)	LA	TDSP	140.36	86	183		162		
137	17997	Love, Jordan	GB	QB	141.02	74	189		162		
138	16069	Mayfield, Baker	TB	QB	141.78	73	196		162		
139	2964	Cowboys, Dallas	DAL	TK	141.85	76	183		161		
140	20344	Mitchell, Keaton	LAC	RB	142.94	104	179		150		
141	4343	Texans, Houston	HOU	TDSP	144.19	87	187		162		
142	17009	Murray, Kyler	MIN	QB	144.40	75	204		162		
143	16075	Andrews, Mark	BAL	TE	145.86	90	183		159		
