rank,player,team,clay_pos_rk,clay_ff_pts,clay_games,clay_rush_att,clay_rush_yds,clay_rush_tds,clay_targets,clay_receptions,clay_rec_yds,clay_rec_tds,clay_carry_share,clay_target_share,mkt_receptions,mkt_rec_yds,mkt_rec_tds,mkt_book,mkt_as_of,adj_targets,adj_receptions,adj_rec_yds,adj_rec_tds,adj_rush_yds,adj_rush_tds,ppr_clay_17g,ppr_clay_propadj,ppr_market,mkt_minus_clay17,mkt_minus_clayadj,ppr_per_game_propadj,proj_source,proj_as_of,propadj_method
29,Mike Gesicki,CIN,29.0,107.0,17.0,0.0,0.0,0.0,57.0,40.0,393.0,5.0,0.0,10.0,,,,,,50.3,35.3,346.8,4.4,0.0,0.0,109.3,96.38,,,,5.67,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
30,Evan Engram,DEN,30.0,106.0,17.0,0.0,0.0,0.0,68.0,47.0,463.0,2.0,0.0,12.0,,,,,,60.0,41.5,408.5,1.8,0.0,0.0,105.3,93.15,,,,5.48,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
31,Oronde Gadsden II,LAC,31.0,106.0,17.0,0.0,0.0,0.0,58.0,42.0,445.0,3.0,0.0,11.0,,,,,,51.2,37.1,392.6,2.6,0.0,0.0,104.5,91.96,,,,5.41,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
32,Cade Otton,TB,32.0,102.0,17.0,0.0,0.0,0.0,64.0,45.0,441.0,2.0,0.0,12.0,,,,,,56.5,39.7,389.1,1.8,0.0,0.0,101.1,89.41,,,,5.26,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
33,Michael Mayer,LV,33.0,81.0,17.0,0.0,0.0,0.0,54.0,37.0,363.0,1.0,0.0,10.0,,,,,,47.6,32.6,320.3,0.9,0.0,0.0,79.3,70.03,,,,4.12,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
34,David Njoku,LAC,34.0,75.0,17.0,0.0,0.0,0.0,42.0,29.0,299.0,3.0,0.0,8.0,,,,,,37.1,25.6,263.8,2.6,0.0,0.0,76.9,67.58,,,,3.98,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
35,Darnell Washington,PIT,35.0,72.0,17.0,0.0,0.0,0.0,45.0,31.0,305.0,2.0,0.0,8.0,,,,,,39.7,27.4,269.1,1.8,0.0,0.0,73.5,65.11,,,,3.83,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
36,Dawson Knox,BUF,36.0,68.0,17.0,0.0,0.0,0.0,36.0,25.0,265.0,3.0,0.0,7.0,,,,,,31.8,22.1,233.8,2.6,0.0,0.0,69.5,61.08,,,,3.59,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
37,Colby Parkinson,LAR,37.0,65.0,17.0,0.0,0.0,0.0,34.0,24.0,249.0,3.0,0.0,6.0,,,,,,30.0,21.2,219.7,2.6,0.0,0.0,66.9,58.77,,,,3.46,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
38,Theo Johnson,NYG,38.0,62.0,17.0,0.0,0.0,0.0,38.0,26.0,270.0,2.0,0.0,8.0,,,,,,33.5,22.9,238.2,1.8,0.0,0.0,65.0,57.52,,,,3.38,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
39,Elijah Arroyo,SEA,40.0,61.0,17.0,0.0,0.0,0.0,35.0,24.0,264.0,2.0,0.0,7.0,,,,,,30.9,21.2,232.9,1.8,0.0,0.0,62.4,55.29,,,,3.25,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
40,Noah Gray,KC,39.0,61.0,17.0,0.0,0.0,0.0,38.0,26.0,262.0,1.0,0.0,7.0,,,,,,33.5,22.9,231.2,0.9,0.0,0.0,58.2,51.42,,,,3.02,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
41,Mason Taylor,NYJ,41.0,57.0,17.0,0.0,0.0,0.0,37.0,28.0,232.0,1.0,0.0,7.0,,,,,,32.6,24.7,204.7,0.9,0.0,0.0,57.2,50.57,,,,2.97,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
42,Cole Kmet,CHI,42.0,54.0,17.0,0.0,0.0,0.0,31.0,22.0,219.0,2.0,0.0,6.0,,,,,,27.4,19.4,193.2,1.8,0.0,0.0,55.9,49.52,,,,2.91,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
43,Elijah Higgins,ARZ,46.0,43.0,17.0,0.0,0.0,0.0,29.0,21.0,182.0,1.0,0.0,5.0,,,,,,25.6,18.5,160.6,0.9,0.0,0.0,45.2,39.96,,,,2.35,"Mike Clay / ESPN, 17-game",2026-08-13,"Clay's guidance: minus 3 games (RB) / 2 games (QB,WR,TE)"
