Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
97	17999	Hurts, Jalen	PHI	QB	99.22	28	128		51		
98	18036	Dowdle, Rico	PIT	RB	99.86	73	152		51		
99	22932	Lemon, Makai	PHI	WR	100.02	71	152		51		
100	22085	Golden, Matthew	GB	WR	100.61	75	132		51		
101	18773	Hubbard, Chuba	CAR	RB	101.16	64	133		51		
102	19872	Mason, Jordan	MIN	RB	101.86	80	154		51		
103	17963	Dobbins, J.K.	DEN	RB	103.84	67	136		50		
104	19436	White, Rachaad	WAS	RB	105.00	76	150		51		
105	17061	Meyers, Jakobi	JAX	WR	105.25	75	134		51		
106	20274	Addison, Jordan	MIN	WR	106.27	82	161		51		
107	22119	Monangai, Kyle	CHI	RB	106.41	85	143		51		
108	20300	Kincaid, Dalton	BUF	TE	113.29	89	161		50		
109	21128	Worthy, Xavier	KC	WR	113.39	85	167		51		
110	7697	Stafford, Matthew	LA	QB	113.55	57	149		51		
111	15360	Kittle, George	SF	TE	114.37	94	133		50		
112	22130	Croskey-Merritt, Jacory	WAS	RB	114.80	88	168		51		
113	14748	Goff, Jared	DET	QB	115.25	43	158		51		
114	19455	Doubs, Romeo	NE	WR	116.20	96	141		51		
115	22933	Concepcion, KC	CLE	WR	116.65	84	167		51		
116	19464	Likely, Isaiah	NYG	TE	117.10	96	136		51		
117	19742	Purdy, Brock	SF	QB	119.10	66	150		51		
118	21570	Coker, Jalen	CAR	WR	119.63	90	147		51		
119	23066	Stribling, De'Zhaun	SF	WR	121.94	78	193		51		
120	17019	Samuel Sr., Deebo	SF	WR	122.37	93	148		51		
121	19462	Shakir, Khalil	BUF	WR	122.51	92	153		51		
122	11842	Kelce, Travis	KC	TE	124.02	91	148		51		
123	22087	Dart, Jaxson	NYG	QB	124.73	67	165		51		
124	15234	Mahomes, Patrick	KC	QB	124.84	77	162		51		
125	16151	Goedert, Dallas	PHI	TE	125.39	102	152		51		
126	19934	Shaheed, Rashid	SEA	WR	126.71	100	143		51		
127	20299	Nix, Bo	DEN	QB	127.45	61	165		51		
128	20344	Mitchell, Keaton	LAC	RB	128.92	104	166		48		
129	19476	Ferguson, Jake	DAL	TE	129.51	101	170		51		
130	21183	Tracy Jr., Tyrone	NYG	RB	131.45	106	148		47		
131	22934	Boston, Denzel	CLE	WR	135.69	91	159		48		
132	20308	Rodriguez Jr., Chris	JAX	RB	135.94	110	163		48		
133	16069	Mayfield, Baker	TB	QB	136.00	73	191		51		
